financial_year_waste,council,topology,Median age - persons (years),Average household size (no. of persons),Estimated resident population (no.),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes
2022-2023,Central Goldfields Shire Council,Rural Area,52.2,2.1,"13,388",44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"43,801","47,723",74.5,271.8,6593,6313,Weekly,2410.43,2038.0,twice monthly,Yes,719.0
2018-2019,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,13608,9979,Weekly,5164.97,9979.0,Fortnightly,Yes,2557.51
2019-2020,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,13608,10111,Weekly,5325.76,10111.0,Fortnightly,Yes,3119.08
2020-2021,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,10265,10265,Weekly,4065.0,10265.0,Fortnightly,Yes,3327.0
2021-2022,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,12444,10598,Weekly,4114.0,10598.0,Fortnightly,Yes,3091.0
2022-2023,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,11237,10600,Weekly,3907.0,10600.0,Fortnightly,Yes,3160.0
2018-2019,Corangamite Shire Council,Rural Area,47.7,2.3,"16,030",48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"45,175","50,210",65.2,516.9,4743,4743,Weekly,1785.0,4743.0,Fortnightly,Yes,1759.0
2019-2020,Corangamite Shire Council,Rural Area,47.7,2.3,"16,030",48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"45,175","50,210",65.2,516.9,4788,4788,Weekly,1814.0,4788.0,Fortnightly,Yes,2044.0
2020-2021,Corangamite Shire Council,Rural Area,47.7,2.3,"16,030",48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"45,175","50,210",65.2,516.9,4801,4801,Weekly,1929.0,4801.0,Fortnightly,Yes,2180.0
2021-2022,Corangamite Shire Council,Rural Area,47.7,2.3,"16,030",48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"45,175","50,210",65.2,516.9,6494,4889,Weekly,1872.0,4889.0,Fortnightly,Yes,2085.0
2022-2023,Corangamite Shire Council,Rural Area,47.7,2.3,"16,030",48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"45,175","50,210",65.2,516.9,5972,5563,Weekly,1955.0,5563.0,Weekly,Yes,2074.0
2018-2019,Darebin City Council,Metropolitan Suburb,37.3,2.4,"150,296",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","56,652","67,788",81.2,"6,279.10",66010,66010,Weekly,25826.0,39438.0,Fortnightly,,11468.0
2019-2020,Darebin City Council,Metropolitan Suburb,37.3,2.4,"150,296",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","56,652","67,788",81.2,"6,279.10",67051,61464,Weekly,25957.12,35856.0,Fortnightly,Yes,13196.0
2020-2021,Darebin City Council,Metropolitan Suburb,37.3,2.4,"150,296",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","56,652","67,788",81.2,"6,279.10",68461,63645,Weekly,19275.61,38974.0,Fortnightly,Yes,18684.88
2021-2022,Darebin City Council,Metropolitan Suburb,37.3,2.4,"150,296",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","56,652","67,788",81.2,"6,279.10",68461,61747,Weekly,25360.42,63325.0,Fortnightly,Yes,13534.0
2022-2023,Darebin City Council,Metropolitan Suburb,37.3,2.4,"150,296",38.3,4.1,2.5,2.6,45.5,1.9,3.9,8.8,2.3,4.0,3.3,4.3,1.7,1.1,31.4,32.3,"-2,904","56,652","67,788",81.2,"6,279.10",67875,63495,Weekly,24220.0,63553.0,Fortnightly,Yes,14557.8
2018-2019,East Gippsland Shire Council,Rural Area,51.9,2.2,"48,477",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"43,752","50,654",70.4,"1,249.40",26000,19965,Weekly,6776.0,15392.0,Fortnightly,No,4000.0
2019-2020,East Gippsland Shire Council,Rural Area,51.9,2.2,"48,477",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"43,752","50,654",70.4,"1,249.40",27180,20037,Weekly,7816.14,16820.0,Fortnightly,No,4486.8
2020-2021,East Gippsland Shire Council,Rural Area,51.9,2.2,"48,477",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"43,752","50,654",70.4,"1,249.40",27373,20592,Weekly,8658.5,17404.0,Fortnightly,No,4997.2
2021-2022,East Gippsland Shire Council,Rural Area,51.9,2.2,"48,477",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"43,752","50,654",70.4,"1,249.40",27993,21380,Weekly,9294.0,16875.0,Fortnightly,No,5651.21
2022-2023,East Gippsland Shire Council,Rural Area,51.9,2.2,"48,477",40.4,0.2,0.3,0.7,48.4,1.2,6.2,0.9,0.2,1.5,0.3,0.6,0.5,0.5,11.8,4.0,846,"43,752","50,654",70.4,"1,249.40",24065,21874,Weekly,8164.97,17282.0,Fortnightly,No,4717.72
2018-2019,Frankston City Council,Metropolitan Suburb,39.0,2.5,"140,824",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","54,633","61,312",81.5,"4,837.50",60163,55853,Weekly,24796.0,39789.0,Fortnightly,,13550.0
2019-2020,Frankston City Council,Metropolitan Suburb,39.0,2.5,"140,824",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","54,633","61,312",81.5,"4,837.50",60684,56240,Weekly,24833.0,41027.0,Fortnightly,Yes,16298.0
2020-2021,Frankston City Council,Metropolitan Suburb,39.0,2.5,"140,824",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","54,633","61,312",81.5,"4,837.50",61267,56635,Weekly,25805.0,42139.0,Fortnightly,Yes,17615.0
2021-2022,Frankston City Council,Metropolitan Suburb,39.0,2.5,"140,824",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","54,633","61,312",81.5,"4,837.50",61250,56880,Weekly,25777.0,43191.0,Fortnightly,Yes,17792.0
2022-2023,Frankston City Council,Metropolitan Suburb,39.0,2.5,"140,824",38.2,0.8,1.0,1.2,50.9,2.6,8.1,2.6,0.7,2.1,1.2,2.0,1.0,1.2,21.3,11.3,"-1,533","54,633","61,312",81.5,"4,837.50",56782,57130,Weekly,24545.0,45090.0,Fortnightly,Yes,17405.0
2018-2019,Gannawarra Shire Council,Rural Area,51.4,2.2,"10,615",48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"43,187","47,237",65.8,270.5,6736,5174,Weekly,2142.0,992.0,Fortnightly,No,451.0
2019-2020,Gannawarra Shire Council,Rural Area,51.4,2.2,"10,615",48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"43,187","47,237",65.8,270.5,6864,5216,Weekly,2321.0,992.0,Fortnightly,No,497.0
2020-2021,Gannawarra Shire Council,Rural Area,51.4,2.2,"10,615",48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"43,187","47,237",65.8,270.5,4766,5253,Weekly,2537.0,1174.0,Fortnightly,,565.0
2021-2022,Gannawarra Shire Council,Rural Area,51.4,2.2,"10,615",48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"43,187","47,237",65.8,270.5,4783,4193,Weekly,2374.0,1174.0,Fortnightly,No,614.0
2022-2023,Gannawarra Shire Council,Rural Area,51.4,2.2,"10,615",48.6,0.1,0.2,0.5,40.6,0.6,2.3,0.4,0.1,0.9,0.2,0.5,0.2,0.4,5.6,2.4,55,"43,187","47,237",65.8,270.5,3867,4229,Weekly,2176.03,1440.0,Fortnightly,No,495.0
2018-2019,Glen Eira City Council,Metropolitan Suburb,38.2,2.5,"150,638",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","59,228","76,465",73.2,"7,755.20",63315,58082,Weekly,27933.0,45000.0,Fortnightly,Yes,11373.0
2019-2020,Glen Eira City Council,Metropolitan Suburb,38.2,2.5,"150,638",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","59,228","76,465",73.2,"7,755.20",64910,57582,Weekly,28000.0,45000.0,Fortnightly,Yes,14000.0
2020-2021,Glen Eira City Council,Metropolitan Suburb,38.2,2.5,"150,638",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","59,228","76,465",73.2,"7,755.20",65916,56962,Weekly,28555.24,45800.0,Fortnightly,Yes,14862.96
2021-2022,Glen Eira City Council,Metropolitan Suburb,38.2,2.5,"150,638",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","59,228","76,465",73.2,"7,755.20",66563,66091,Fortnightly,20895.0,47290.0,Weekly,Yes,20817.0
2022-2023,Glen Eira City Council,Metropolitan Suburb,38.2,2.5,"150,638",31.8,0.8,4.4,2.1,37.6,1.7,5.4,6.6,2.3,3.5,6.1,5.9,2.0,2.9,36.3,30.9,"-1,387","59,228","76,465",73.2,"7,755.20",66802,57827,Fortnightly,20619.72,47740.0,Weekly,Yes,19758.12
2018-2019,Glenelg Shire Council,Rural Area,48.9,2.2,"20,058",42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"48,634","55,185",73.8,617.9,9950,7590,Weekly,3473.08,,,,
2019-2020,Glenelg Shire Council,Rural Area,48.9,2.2,"20,058",42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"48,634","55,185",73.8,617.9,9950,7745,Weekly,3420.0,,,,
2020-2021,Glenelg Shire Council,Rural Area,48.9,2.2,"20,058",42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"48,634","55,185",73.8,617.9,9950,7821,Weekly,3482.81,,,,
2021-2022,Glenelg Shire Council,Rural Area,48.9,2.2,"20,058",42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"48,634","55,185",73.8,617.9,10145,7731,Weekly,3646.0,,,,
2022-2023,Glenelg Shire Council,Rural Area,48.9,2.2,"20,058",42.2,0.1,0.4,0.5,47.3,1.5,3.8,0.6,0.1,1.1,0.1,0.6,0.4,0.4,8.7,2.9,-32,"48,634","55,185",73.8,617.9,8721,8161,Weekly,3903.0,,,,
2018-2019,Golden Plains Shire Council,Rural Area,39.4,2.9,"24,892",42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"53,822","60,672",77.9,856,8327,8327,Fortnightly,4416.0,,,,
2019-2020,Golden Plains Shire Council,Rural Area,39.4,2.9,"24,892",42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"53,822","60,672",77.9,856,8548,8548,Fortnightly,5527.0,,,,
2020-2021,Golden Plains Shire Council,Rural Area,39.4,2.9,"24,892",42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"53,822","60,672",77.9,856,8812,8812,Fortnightly,4882.0,,,,
2021-2022,Golden Plains Shire Council,Rural Area,39.4,2.9,"24,892",42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"53,822","60,672",77.9,856,8515,9070,Fortnightly,5005.0,,,,
2022-2023,Golden Plains Shire Council,Rural Area,39.4,2.9,"24,892",42.3,0.2,0.1,0.4,49.9,1.0,5.3,1.2,0.1,0.5,0.2,0.2,0.4,0.3,9.2,3.0,382,"53,822","60,672",77.9,856,8723,9101,Fortnightly,5026.0,,,,
2018-2019,Greater Bendigo City Council,Regional City,39.7,2.4,"121,272",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","51,481","57,741",78.5,"3,716.50",49821,49553,Weekly,22422.0,40001.0,Fortnightly,Yes,10348.0
2019-2020,Greater Bendigo City Council,Regional City,39.7,2.4,"121,272",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","51,481","57,741",78.5,"3,716.50",49596,49596,Weekly,24810.8,40091.0,Fortnightly,Yes,13248.0
2020-2021,Greater Bendigo City Council,Regional City,39.7,2.4,"121,272",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","51,481","57,741",78.5,"3,716.50",51531,51051,Weekly,24102.0,43399.0,Fortnightly,Yes,14800.0
2021-2022,Greater Bendigo City Council,Regional City,39.7,2.4,"121,272",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","51,481","57,741",78.5,"3,716.50",52606,52459,Weekly,26040.23,44756.0,Fortnightly,Yes,13398.96
2022-2023,Greater Bendigo City Council,Regional City,39.7,2.4,"121,272",42.5,0.6,0.7,1.2,47.2,0.8,2.8,0.5,0.3,2.4,0.5,1.6,0.4,0.4,9.6,6.5,"1,156","51,481","57,741",78.5,"3,716.50",52196,52532,Weekly,25935.0,44307.0,Fortnightly,Yes,15010.44
2018-2019,Greater Dandenong City Council,Metropolitan Suburb,36.2,2.9,"160,100",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","44,670","49,203",80.8,"4,230.00",55368,54423,Weekly,29222.24,46029.0,Fortnightly,,12346.46
2019-2020,Greater Dandenong City Council,Metropolitan Suburb,36.2,2.9,"160,100",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","44,670","49,203",80.8,"4,230.00",57122,57122,Weekly,30313.36,45879.0,Fortnightly,,15161.17
2020-2021,Greater Dandenong City Council,Metropolitan Suburb,36.2,2.9,"160,100",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","44,670","49,203",80.8,"4,230.00",68395,55531,Weekly,31342.32,46357.0,Fortnightly,Yes,15445.0
2021-2022,Greater Dandenong City Council,Metropolitan Suburb,36.2,2.9,"160,100",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","44,670","49,203",80.8,"4,230.00",47246,55439,Weekly,30166.0,46357.0,Fortnightly,Yes,15112.0
2022-2023,Greater Dandenong City Council,Metropolitan Suburb,36.2,2.9,"160,100",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","44,670","49,203",80.8,"4,230.00",56212,55659,Weekly,31550.0,44527.0,Fortnightly,Yes,14183.0
2018-2019,Greater Geelong City Council,Regional City,39.2,2.4,"270,932",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","52,125","60,938",77.5,"9,307.10",110037,110037,Weekly,45000.0,110037.0,Fortnightly,No,36000.0
2019-2020,Greater Geelong City Council,Regional City,39.2,2.4,"270,932",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","52,125","60,938",77.5,"9,307.10",113358,113358,Weekly,52232.0,113358.0,Fortnightly,No,39369.0
2020-2021,Greater Geelong City Council,Regional City,39.2,2.4,"270,932",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","52,125","60,938",77.5,"9,307.10",114697,114697,Weekly,56093.0,114697.0,Fortnightly,No,39633.0
2021-2022,Greater Geelong City Council,Regional City,39.2,2.4,"270,932",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","52,125","60,938",77.5,"9,307.10",124000,121500,Weekly,56250.0,121400.0,Fortnightly,No,41000.0
2022-2023,Greater Geelong City Council,Regional City,39.2,2.4,"270,932",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","52,125","60,938",77.5,"9,307.10",117474,122000,Weekly,56288.0,122000.0,Fortnightly,No,39710.0
2018-2019,Greater Shepparton City Council,Regional City,39.3,2.5,"68,526",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"47,001","52,673",78.8,"2,035.60",26027,26848,Weekly,13166.01,22623.0,Fortnightly,Yes,7097.34
2019-2020,Greater Shepparton City Council,Regional City,39.3,2.5,"68,526",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"47,001","52,673",78.8,"2,035.60",28934,28934,Weekly,13678.0,22985.0,Fortnightly,Yes,9285.0
2020-2021,Greater Shepparton City Council,Regional City,39.3,2.5,"68,526",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"47,001","52,673",78.8,"2,035.60",28934,28934,Weekly,13980.11,23049.0,Fortnightly,Yes,8505.74
2021-2022,Greater Shepparton City Council,Regional City,39.3,2.5,"68,526",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"47,001","52,673",78.8,"2,035.60",26220,25555,Weekly,14036.05,23767.0,Fortnightly,Yes,9426.9
2022-2023,Greater Shepparton City Council,Regional City,39.3,2.5,"68,526",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"47,001","52,673",78.8,"2,035.60",23099,28901,Weekly,13818.0,24182.0,Fortnightly,Yes,8313.0
2018-2019,Hepburn Shire Council,Rural Area,51.9,2.2,"16,485",34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"47,603","56,990",66.5,495.1,7248,7367,Weekly,4865.0,,,,
2019-2020,Hepburn Shire Council,Rural Area,51.9,2.2,"16,485",34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"47,603","56,990",66.5,495.1,7612,7418,Weekly,4893.01,,,,
2020-2021,Hepburn Shire Council,Rural Area,51.9,2.2,"16,485",34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"47,603","56,990",66.5,495.1,9000,8295,Weekly,3454.0,,,,
2021-2022,Hepburn Shire Council,Rural Area,51.9,2.2,"16,485",34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"47,603","56,990",66.5,495.1,5571,5571,Weekly,3366.29,943.0,Weekly,Yes,160.0
2022-2023,Hepburn Shire Council,Rural Area,51.9,2.2,"16,485",34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"47,603","56,990",66.5,495.1,6950,8029,Weekly,3125.8,943.0,Weekly,Yes,140.0
2018-2019,Hindmarsh Shire Council,Rural Area,50.1,2.2,"5,656",53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"46,797","49,409",63.9,193,2417,2535,Weekly,1544.0,,,,
2019-2020,Hindmarsh Shire Council,Rural Area,50.1,2.2,"5,656",53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"46,797","49,409",63.9,193,2417,2770,Weekly,1244.0,,,,
2020-2021,Hindmarsh Shire Council,Rural Area,50.1,2.2,"5,656",53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"46,797","49,409",63.9,193,2417,2770,Weekly,1234.0,,,,
2021-2022,Hindmarsh Shire Council,Rural Area,50.1,2.2,"5,656",53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"46,797","49,409",63.9,193,2551,2366,Weekly,1682.0,,,,
2022-2023,Hindmarsh Shire Council,Rural Area,50.1,2.2,"5,656",53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"46,797","49,409",63.9,193,2507,2777,Weekly,1689.72,,,,
2018-2019,Hobsons Bay City Council,Metropolitan Suburb,39.5,2.5,"92,267",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","62,143","74,537",80.4,"4,077.90",38864,37463,Weekly,19565.0,26015.0,Fortnightly,,6702.0
2019-2020,Hobsons Bay City Council,Metropolitan Suburb,39.5,2.5,"92,267",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","62,143","74,537",80.4,"4,077.90",39059,37866,Fortnightly,19807.0,37866.0,Weekly,Yes,11047.0
2020-2021,Hobsons Bay City Council,Metropolitan Suburb,39.5,2.5,"92,267",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","62,143","74,537",80.4,"4,077.90",40079,39888,Fortnightly,14345.0,38805.0,Weekly,Yes,14735.0
