financial_year_waste,council,topology,Median age - persons (years),Average household size (no. of persons),Estimated resident population (no.),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes
2021-2022,Hobsons Bay City Council,Metropolitan Suburb,39.5,2.5,"92,267",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","62,143","74,537",80.4,"4,077.90",37831,38453,Weekly,15672.0,38453.0,Fortnightly,Yes,12999.0
2022-2023,Hobsons Bay City Council,Metropolitan Suburb,39.5,2.5,"92,267",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","62,143","74,537",80.4,"4,077.90",37318,38447,Weekly,17037.55,38447.0,Fortnightly,Yes,11284.8
2018-2019,Horsham Rural City Council,Rural Area,41.2,2.3,"20,376",48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"48,516","52,803",73.0,706.7,9264,9264,Weekly,5489.84,,,,
2019-2020,Horsham Rural City Council,Rural Area,41.2,2.3,"20,376",48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"48,516","52,803",73.0,706.7,9341,8966,Weekly,6009.22,,,,
2020-2021,Horsham Rural City Council,Rural Area,41.2,2.3,"20,376",48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"48,516","52,803",73.0,706.7,9434,9034,Weekly,6029.29,,,,
2021-2022,Horsham Rural City Council,Rural Area,41.2,2.3,"20,376",48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"48,516","52,803",73.0,706.7,9585,9150,Weekly,6393.0,,,,
2022-2023,Horsham Rural City Council,Rural Area,41.2,2.3,"20,376",48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"48,516","52,803",73.0,706.7,9049,9215,Fortnightly,5719.08,7921.0,Fortnightly,Yes,441.73
2018-2019,Hume City Council,Metropolitan Suburb,33.6,3.1,"246,920",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","51,202","57,210",81.6,"6,782.20",77261,77261,Weekly,47386.0,30433.0,Fortnightly,,7408.0
2019-2020,Hume City Council,Metropolitan Suburb,33.6,3.1,"246,920",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","51,202","57,210",81.6,"6,782.20",76930,76770,Weekly,50397.0,31807.0,Fortnightly,Yes,10696.0
2020-2021,Hume City Council,Metropolitan Suburb,33.6,3.1,"246,920",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","51,202","57,210",81.6,"6,782.20",80515,80152,Weekly,54349.0,35331.0,Fortnightly,Yes,12630.0
2021-2022,Hume City Council,Metropolitan Suburb,33.6,3.1,"246,920",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","51,202","57,210",81.6,"6,782.20",89655,80803,Weekly,54552.0,38296.0,Fortnightly,Yes,13872.0
2022-2023,Hume City Council,Metropolitan Suburb,33.6,3.1,"246,920",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","51,202","57,210",81.6,"6,782.20",87094,85380,Weekly,54277.76,42058.0,Fortnightly,Yes,13347.86
2018-2019,Indigo Shire Council,Rural Area,47.5,2.4,"17,251",42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"52,000","57,322",73.0,558.7,7145,7319,Fortnightly,2250.82,5271.0,Weekly,Yes,2124.0
2019-2020,Indigo Shire Council,Rural Area,47.5,2.4,"17,251",42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"52,000","57,322",73.0,558.7,8610,8610,Fortnightly,2055.0,5085.0,Weekly,Yes,2442.0
2020-2021,Indigo Shire Council,Rural Area,47.5,2.4,"17,251",42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"52,000","57,322",73.0,558.7,8612,8612,Fortnightly,2267.0,5488.0,Weekly,Yes,2838.0
2021-2022,Indigo Shire Council,Rural Area,47.5,2.4,"17,251",42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"52,000","57,322",73.0,558.7,6540,7786,Fortnightly,2210.0,5628.0,Weekly,Yes,3049.0
2022-2023,Indigo Shire Council,Rural Area,47.5,2.4,"17,251",42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"52,000","57,322",73.0,558.7,5461,7576,Fortnightly,2285.3,5737.0,Weekly,Yes,2925.2
2018-2019,Kingston City Council,Metropolitan Suburb,41.1,2.5,"159,554",45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","40,322","44,946",60.7,79.4,64000,63000,Weekly,28765.0,48000.0,Fortnightly,,13779.0
2019-2020,Kingston City Council,Metropolitan Suburb,41.1,2.5,"159,554",45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","40,322","44,946",60.7,79.4,63638,63638,Weekly,29087.0,48300.0,Fortnightly,Yes,16855.0
2020-2021,Kingston City Council,Metropolitan Suburb,41.1,2.5,"159,554",45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","40,322","44,946",60.7,79.4,65412,65412,Weekly,27767.0,50441.0,Fortnightly,Yes,20068.0
2021-2022,Kingston City Council,Metropolitan Suburb,41.1,2.5,"159,554",45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","40,322","44,946",60.7,79.4,54357,63465,Weekly,27845.0,50089.0,Fortnightly,Yes,19340.0
2022-2023,Kingston City Council,Metropolitan Suburb,41.1,2.5,"159,554",45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","40,322","44,946",60.7,79.4,65140,64016,Weekly,26941.0,51965.0,Fortnightly,Yes,18913.74
2018-2019,Knox City Council,Metropolitan Suburb,40.4,2.7,"160,481",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","55,096","63,292",79.9,"5,989.50",60497,60497,Weekly,28032.42,42132.0,Fortnightly,,14923.0
2019-2020,Knox City Council,Metropolitan Suburb,40.4,2.7,"160,481",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","55,096","63,292",79.9,"5,989.50",61309,61309,Weekly,28515.72,43369.0,Fortnightly,,18339.0
2020-2021,Knox City Council,Metropolitan Suburb,40.4,2.7,"160,481",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","55,096","63,292",79.9,"5,989.50",62873,62873,Weekly,29468.0,43839.0,Fortnightly,,18689.46
2021-2022,Knox City Council,Metropolitan Suburb,40.4,2.7,"160,481",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","55,096","63,292",79.9,"5,989.50",63318,60316,Weekly,29471.0,44474.0,Fortnightly,No,17121.0
2022-2023,Knox City Council,Metropolitan Suburb,40.4,2.7,"160,481",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","55,096","63,292",79.9,"5,989.50",60781,61004,Weekly,27804.06,44474.0,Fortnightly,No,17545.48
2018-2019,Latrobe City Council,Regional City,41.5,2.3,"77,117",40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"49,580","55,972",77.6,371.1,35919,34831,Weekly,15027.0,30739.0,Fortnightly,No,7860.0
2019-2020,Latrobe City Council,Regional City,41.5,2.3,"77,117",40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"49,580","55,972",77.6,371.1,35940,35000,Weekly,15756.0,30952.0,Fortnightly,No,11037.0
2020-2021,Latrobe City Council,Regional City,41.5,2.3,"77,117",40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"49,580","55,972",77.6,371.1,36250,35525,Weekly,16498.0,31416.0,Fortnightly,No,10458.0
2021-2022,Latrobe City Council,Regional City,41.5,2.3,"77,117",40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"49,580","55,972",77.6,371.1,35837,31529,Weekly,16599.0,32050.0,Fortnightly,No,11275.0
2022-2023,Latrobe City Council,Regional City,41.5,2.3,"77,117",40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"49,580","55,972",77.6,371.1,35123,31529,Weekly,16276.0,32050.0,Fortnightly,No,10163.0
2018-2019,Loddon Shire Council,Rural Area,52.4,2.2,"7,703",45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"42,408","47,279",60.7,194.2,3425,3414,Weekly,2349.0,,,,
2019-2020,Loddon Shire Council,Rural Area,52.4,2.2,"7,703",45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"42,408","47,279",60.7,194.2,4000,3818,Weekly,1600.0,,,,
2020-2021,Loddon Shire Council,Rural Area,52.4,2.2,"7,703",45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"42,408","47,279",60.7,194.2,3489,3818,Weekly,1465.532,,,,
2021-2022,Loddon Shire Council,Rural Area,52.4,2.2,"7,703",45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"42,408","47,279",60.7,194.2,4403,3280,Weekly,1692.9,,,,
2022-2023,Loddon Shire Council,Rural Area,52.4,2.2,"7,703",45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"42,408","47,279",60.7,194.2,2454,2548,Weekly,1602.8,,,,
2018-2019,Macedon Ranges Shire Council,Rural Area,43.0,2.7,"51,599",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"58,106","71,721",73.8,"2,122.20",19060,19060,Weekly,9222.3,11000.0,Fortnightly,No,2969.0
2019-2020,Macedon Ranges Shire Council,Rural Area,43.0,2.7,"51,599",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"58,106","71,721",73.8,"2,122.20",19490,19275,Fortnightly,6600.0,14425.0,Weekly,Yes,7200.0
2020-2021,Macedon Ranges Shire Council,Rural Area,43.0,2.7,"51,599",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"58,106","71,721",73.8,"2,122.20",19088,19088,Fortnightly,7170.0,14569.0,Weekly,Yes,8504.0
2021-2022,Macedon Ranges Shire Council,Rural Area,43.0,2.7,"51,599",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"58,106","71,721",73.8,"2,122.20",21695,20240,Weekly,6360.67,20240.0,Weekly,Yes,10815.94
2022-2023,Macedon Ranges Shire Council,Rural Area,43.0,2.7,"51,599",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"58,106","71,721",73.8,"2,122.20",19605,19287,Fortnightly,5886.0,19287.0,Weekly,Yes,10184.0
2018-2019,Manningham City Council,Metropolitan Suburb,43.3,2.7,"125,821",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","53,142","69,547",66.9,"5,309.00",48363,44099,Weekly,19648.52,43422.0,Fortnightly,No,13859.04
2019-2020,Manningham City Council,Metropolitan Suburb,43.3,2.7,"125,821",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","53,142","69,547",66.9,"5,309.00",49303,44636,Weekly,20169.54,44009.0,Fortnightly,No,16873.24
2020-2021,Manningham City Council,Metropolitan Suburb,43.3,2.7,"125,821",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","53,142","69,547",66.9,"5,309.00",50358,45088,Weekly,21347.18,44673.0,Fortnightly,No,16255.66
2021-2022,Manningham City Council,Metropolitan Suburb,43.3,2.7,"125,821",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","53,142","69,547",66.9,"5,309.00",49918,45491,Weekly,21367.88,45900.0,Fortnightly,No,15147.9
2022-2023,Manningham City Council,Metropolitan Suburb,43.3,2.7,"125,821",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","53,142","69,547",66.9,"5,309.00",49611,45526,Weekly,20256.8,45526.0,Fortnightly,No,15303.45
2018-2019,Mansfield Shire Council,Rural Area,48.5,2.3,"10,121",40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"41,562","50,062",65.1,280.6,6228,6228,Weekly,2325.48,,,,
2019-2020,Mansfield Shire Council,Rural Area,48.5,2.3,"10,121",40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"41,562","50,062",65.1,280.6,6546,6616,Weekly,2934.1,,,,
2020-2021,Mansfield Shire Council,Rural Area,48.5,2.3,"10,121",40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"41,562","50,062",65.1,280.6,6671,6667,Weekly,3678.71,,,,
2021-2022,Mansfield Shire Council,Rural Area,48.5,2.3,"10,121",40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"41,562","50,062",65.1,280.6,3944,3944,,2540.0,,,,
2022-2023,Mansfield Shire Council,Rural Area,48.5,2.3,"10,121",40.2,0.2,0.2,0.5,49.4,1.2,5.9,1.1,0.1,0.8,0.8,0.5,0.7,0.3,11.3,4.1,286,"41,562","50,062",65.1,280.6,3950,6890,Weekly,2613.04,,,,
2018-2019,Maribyrnong City Council,Metropolitan Suburb,35.3,2.4,"86,385",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","57,084","67,509",84.5,"3,686.10",36790,36123,Weekly,18705.0,9292.0,Fortnightly,,1983.0
2019-2020,Maribyrnong City Council,Metropolitan Suburb,35.3,2.4,"86,385",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","57,084","67,509",84.5,"3,686.10",36065,36065,Weekly,19054.0,9000.0,Fortnightly,Yes,2880.0
2020-2021,Maribyrnong City Council,Metropolitan Suburb,35.3,2.4,"86,385",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","57,084","67,509",84.5,"3,686.10",37512,37542,Weekly,22800.0,9100.0,Fortnightly,Yes,3200.0
2021-2022,Maribyrnong City Council,Metropolitan Suburb,35.3,2.4,"86,385",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","57,084","67,509",84.5,"3,686.10",36162,36162,Weekly,17880.0,21870.0,Fortnightly,Yes,5067.0
2022-2023,Maribyrnong City Council,Metropolitan Suburb,35.3,2.4,"86,385",32.2,4.0,3.1,8.0,45.2,2.3,3.8,4.5,1.4,13.4,3.1,5.4,2.4,1.7,38.0,38.1,"-1,270","57,084","67,509",84.5,"3,686.10",41060,36937,Weekly,16838.35,22140.0,Fortnightly,Yes,5772.42
2018-2019,Maroondah City Council,Metropolitan Suburb,39.4,2.6,"116,075",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","56,712","65,892",79.5,"4,454.30",45665,44665,Weekly,20123.0,45665.0,Fortnightly,No,12293.0
2019-2020,Maroondah City Council,Metropolitan Suburb,39.4,2.6,"116,075",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","56,712","65,892",79.5,"4,454.30",45903,45903,Weekly,20145.0,45903.0,Fortnightly,No,15261.0
2020-2021,Maroondah City Council,Metropolitan Suburb,39.4,2.6,"116,075",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","56,712","65,892",79.5,"4,454.30",45357,44873,Weekly,21006.0,45247.0,Fortnightly,No,15848.0
2021-2022,Maroondah City Council,Metropolitan Suburb,39.4,2.6,"116,075",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","56,712","65,892",79.5,"4,454.30",45219,45219,Weekly,20611.0,45219.0,Fortnightly,No,14442.0
2022-2023,Maroondah City Council,Metropolitan Suburb,39.4,2.6,"116,075",43.1,0.9,1.9,2.2,45.8,1.3,5.8,1.7,1.2,5.0,4.9,3.2,1.0,1.1,25.2,19.8,"-1,828","56,712","65,892",79.5,"4,454.30",46054,47363,Weekly,19648.0,47363.0,Fortnightly,Yes,15120.0
2018-2019,Melbourne City Council,Central Business District,30.5,1.8,"153,110",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"41,393","61,030",80.4,"7,252.50",91022,91022,Weekly,30182.69,,,,
2019-2020,Melbourne City Council,Central Business District,30.5,1.8,"153,110",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"41,393","61,030",80.4,"7,252.50",95560,90945,Weekly,34413.04,,,,
2020-2021,Melbourne City Council,Central Business District,30.5,1.8,"153,110",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"41,393","61,030",80.4,"7,252.50",102065,102065,Weekly,31836.74,8900.0,Fortnightly,Yes,28.9
2021-2022,Melbourne City Council,Central Business District,30.5,1.8,"153,110",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"41,393","61,030",80.4,"7,252.50",110940,110940,Weekly,29425.0,23000.0,Weekly,Yes,1500.0
2022-2023,Melbourne City Council,Central Business District,30.5,1.8,"153,110",23.8,3.9,6.1,6.3,49.3,2.4,4.4,2.4,2.1,12.7,16.0,8.5,4.4,1.7,54.7,46.0,-917,"41,393","61,030",80.4,"7,252.50",110305,100879,Weekly,29025.0,23000.0,Weekly,Yes,1795.0
2018-2019,Melton City Council,Peri-Urban Area,33.2,3.1,"181,346",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","55,067","60,783",85.1,"5,314.50",50000,50000,Weekly,30000.0,38000.0,Fortnightly,,7000.0
2019-2020,Melton City Council,Peri-Urban Area,33.2,3.1,"181,346",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","55,067","60,783",85.1,"5,314.50",57600,57600,Weekly,30252.0,37765.0,Fortnightly,,8963.0
2020-2021,Melton City Council,Peri-Urban Area,33.2,3.1,"181,346",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","55,067","60,783",85.1,"5,314.50",58253,58254,Weekly,32877.0,39713.0,Fortnightly,Yes,11176.0
2021-2022,Melton City Council,Peri-Urban Area,33.2,3.1,"181,346",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","55,067","60,783",85.1,"5,314.50",76140,63939,Weekly,34785.0,49516.0,Fortnightly,Yes,12262.0
2022-2023,Melton City Council,Peri-Urban Area,33.2,3.1,"181,346",48.0,6.4,5.2,2.8,24.3,3.3,2.4,5.3,3.1,6.9,0.9,10.8,1.2,1.8,35.6,39.0,"5,248","55,067","60,783",85.1,"5,314.50",66081,67913,Weekly,35386.79,53521.0,Fortnightly,Yes,12720.11
2018-2019,Merri-Bek City Council (Former Moreland City Council),Rural Area,35.4,2.4,"173,500",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","57,077","66,566",82.8,"7,254.40",73758,73758,Weekly,29571.15,38264.0,Fortnightly,,7770.62
2019-2020,Merri-Bek City Council (Former Moreland City Council),Rural Area,35.4,2.4,"173,500",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","57,077","66,566",82.8,"7,254.40",76117,76117,Weekly,29456.01,41341.0,Fortnightly,Yes,11800.0
2020-2021,Merri-Bek City Council (Former Moreland City Council),Rural Area,35.4,2.4,"173,500",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","57,077","66,566",82.8,"7,254.40",69033,69033,Weekly,29870.96,51774.0,Fortnightly,Yes,13052.14
2021-2022,Merri-Bek City Council (Former Moreland City Council),Rural Area,35.4,2.4,"173,500",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","57,077","66,566",82.8,"7,254.40",78670,69554,Weekly,29637.43,66398.0,Fortnightly,Yes,12942.52
2022-2023,Merri-Bek City Council (Former Moreland City Council),Rural Area,35.4,2.4,"173,500",36.7,9.8,3.6,2.1,41.2,2.1,3.9,7.6,4.5,3.1,2.0,7.0,2.0,0.8,32.9,34.5,"-2,946","57,077","66,566",82.8,"7,254.40",76796,69817,Weekly,28581.89,69813.0,Fortnightly,Yes,13173.41
2018-2019,Mildura Rural City Council,Regional City,40.0,2.4,"56,966",42.4,2.1,0.7,1.9,42.7,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,13.6,12.3,-597,"43,068","48,518",79.2,"1,651.60",23778,23778,Weekly,11792.42,,,,
2019-2020,Mildura Rural City Council,Regional City,40.0,2.4,"56,966",42.4,2.1,0.7,1.9,42.7,1.6,2.1,1.6,0.8,3.8,0.9,2.0,0.2,0.7,13.6,12.3,-597,"43,068","48,518",79.2,"1,651.60",23810,23810,Weekly,14012.66,,,,
