financial_year_waste,council,topology,Median age - persons (years),Average household size (no. of persons),Estimated resident population (no.),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes
2021-2022,Southern Grampians Shire Council,Rural Area,46.8,2.2,"16,492",50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"45,418","49,690",67.6,502.9,7374,6610,Fortnightly,2160.0,6373.0,Fortnightly,Yes,2300.0
2022-2023,Southern Grampians Shire Council,Rural Area,46.8,2.2,"16,492",50.6,0.2,0.3,0.4,40.1,1.4,3.2,0.3,0.1,0.7,0.2,0.7,0.4,0.6,7.7,3.0,-50,"45,418","49,690",67.6,502.9,6468,6336,Weekly,2214.7,6419.0,Fortnightly,Yes,2421.0
2018-2019,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",57877,57877,Weekly,20650.0,12263.0,Fortnightly,,3309.0
2019-2020,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",58797,58797,Weekly,20145.0,12688.0,Fortnightly,Yes,4095.0
2020-2021,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",59835,59835,Weekly,20844.0,13678.0,Fortnightly,Yes,4439.0
2021-2022,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",60067,60076,Weekly,20722.0,14430.0,Fortnightly,Yes,4749.0
2022-2023,Stonnington City Council,Metropolitan Suburb,36.7,2.1,"106,190",37.9,1.2,2.4,2.2,45.0,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,31.4,22.2,"-1,668","64,813","90,760",70.3,"8,625.20",60055,60318,Weekly,20535.0,15500.0,Fortnightly,Yes,4423.16
2018-2019,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,5902,3885,Fortnightly,1003.14,3865.0,Weekly,Yes,1263.1
2019-2020,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,4510,4132,Fortnightly,1077.0,4510.0,Weekly,Yes,1515.0
2020-2021,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,7063,4211,Fortnightly,1130.82,4247.0,Weekly,Yes,1681.32
2021-2022,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,5280,3430,Fortnightly,1164.2,3368.0,Weekly,Yes,1757.0
2022-2023,Strathbogie Shire Council,Rural Area,53.3,2.2,"11,368",46.2,0.3,0.3,0.9,40.7,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,9.8,3.7,218,"47,188","53,352",67.7,308.1,3772,3800,Fortnightly,1124.62,3800.0,Weekly,Yes,1728.97
2018-2019,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",17226,17226,Weekly,6489.0,17226.0,Fortnightly,No,3051.0
2019-2020,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",17868,17868,Weekly,6641.0,17868.0,Fortnightly,Yes,3806.0
2020-2021,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",18275,18275,Fortnightly,6279.0,18275.0,Fortnightly,Yes,5754.0
2021-2022,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",18593,18593,Fortnightly,5264.0,18627.0,Weekly,Yes,8434.0
2022-2023,Surf Coast Shire Council,Rural Area,42.3,2.6,"37,648",38.1,0.2,0.2,0.6,53.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,11.8,4.1,"1,364","53,102","66,383",67.5,"1,552.50",18551,20492,Fortnightly,4557.0,20492.0,Weekly,Yes,8350.0
2018-2019,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8497,8497,Weekly,3931.72,1042.0,Fortnightly,,336.86
2019-2020,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8758,8544,Weekly,5202.0,1134.0,Fortnightly,,362.0
2020-2021,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8596,8596,Weekly,4715.0,1296.0,Fortnightly,,436.0
2021-2022,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,8062,8524,Weekly,4949.0,1474.0,Fortnightly,No,547.0
2022-2023,Swan Hill Rural City Council,Rural Area,34.9,2.5,"158,689",41.3,4.0,3.1,2.4,40.2,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,33.5,23.2,"2,347","40,397","45,544",75.1,664,7206,8739,Weekly,5392.89,1584.0,Fortnightly,No,614.0
2018-2019,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,4107,3044,Weekly,1900.0,,,,
2019-2020,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,2960,2963,Weekly,1900.0,,,,
2020-2021,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,2740,2740,Weekly,1900.0,,,,
2021-2022,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,1675,2890,Weekly,1212.81,,,,
2022-2023,Towong Shire Council,Rural Area,51.8,2.2,"6,186",48.6,0.3,0.2,0.4,39.1,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,8.5,2.8,-13,"45,840","52,398",64.4,192.7,1713,3041,Weekly,1198.0,,,,
2018-2019,Wangaratta Rural City Council,Rural Area,45.3,2.3,"29,751",48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"49,046","54,466",74.8,915.3,14237,14749,Fortnightly,4718.28,8805.0,Weekly,Yes,3738.46
2019-2020,Wangaratta Rural City Council,Rural Area,45.3,2.3,"29,751",48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"49,046","54,466",74.8,915.3,13939,13939,Fortnightly,4626.0,8805.0,Weekly,Yes,4177.05
2020-2021,Wangaratta Rural City Council,Rural Area,45.3,2.3,"29,751",48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"49,046","54,466",74.8,915.3,14430,14462,Fortnightly,5408.0,8850.0,Weekly,Yes,5712.0
2021-2022,Wangaratta Rural City Council,Rural Area,45.3,2.3,"29,751",48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"49,046","54,466",74.8,915.3,8894,8816,Fortnightly,4920.0,10269.0,Weekly,Yes,6133.0
2022-2023,Wangaratta Rural City Council,Rural Area,45.3,2.3,"29,751",48.3,0.2,0.6,0.8,42.0,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,9.0,5.2,192,"49,046","54,466",74.8,915.3,11964,15265,Fortnightly,4841.96,10520.0,Weekly,Yes,4415.43
2018-2019,Warrnambool City Council,Regional City,41.7,2.3,"35,433",47.3,0.3,0.5,0.9,43.6,1.3,3.0,0.4,0.2,1.7,1.0,1.0,0.4,0.5,9.6,5.4,68,"48,627","54,270",77.5,"1,241.20",15199,15199,Weekly,6059.0,15199.0,Fortnightly,Yes,1800.0
2019-2020,Warrnambool City Council,Regional City,41.7,2.3,"35,433",47.3,0.3,0.5,0.9,43.6,1.3,3.0,0.4,0.2,1.7,1.0,1.0,0.4,0.5,9.6,5.4,68,"48,627","54,270",77.5,"1,241.20",15892,15892,Weekly,5200.0,15892.0,Fortnightly,Yes,5707.0
2020-2021,Warrnambool City Council,Regional City,41.7,2.3,"35,433",47.3,0.3,0.5,0.9,43.6,1.3,3.0,0.4,0.2,1.7,1.0,1.0,0.4,0.5,9.6,5.4,68,"48,627","54,270",77.5,"1,241.20",15760,15760,Weekly,5453.0,15760.0,Fortnightly,Yes,6278.8
2021-2022,Warrnambool City Council,Regional City,41.7,2.3,"35,433",47.3,0.3,0.5,0.9,43.6,1.3,3.0,0.4,0.2,1.7,1.0,1.0,0.4,0.5,9.6,5.4,68,"48,627","54,270",77.5,"1,241.20",15912,16132,Fortnightly,4964.58,16132.0,Fortnightly,Yes,6125.06
2022-2023,Warrnambool City Council,Regional City,41.7,2.3,"35,433",47.3,0.3,0.5,0.9,43.6,1.3,3.0,0.4,0.2,1.7,1.0,1.0,0.4,0.5,9.6,5.4,68,"48,627","54,270",77.5,"1,241.20",15989,16572,Fortnightly,4900.86,16033.0,Fortnightly,Yes,6503.34
2018-2019,Wellington Shire Council,Rural Area,44.4,2.3,"45,469",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11.0,3.9,353,"49,656","59,879",74.7,"1,396.90",22662,17819,Weekly,6897.0,,,,
2019-2020,Wellington Shire Council,Rural Area,44.4,2.3,"45,469",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11.0,3.9,353,"49,656","59,879",74.7,"1,396.90",19705,19705,Weekly,7283.0,,,,
2020-2021,Wellington Shire Council,Rural Area,44.4,2.3,"45,469",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11.0,3.9,353,"49,656","59,879",74.7,"1,396.90",25500,19941,Weekly,7752.75,,,,
2021-2022,Wellington Shire Council,Rural Area,44.4,2.3,"45,469",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11.0,3.9,353,"49,656","59,879",74.7,"1,396.90",24481,19667,Weekly,7790.03,,,,
2022-2023,Wellington Shire Council,Rural Area,44.4,2.3,"45,469",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11.0,3.9,353,"49,656","59,879",74.7,"1,396.90",21843,18774,Weekly,7592.01,,,,
2018-2019,West Wimmera Shire Council,Rural Area,50.8,2.2,"3,978",50.5,0.5,0.3,0.1,37.7,1.0,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"41,314","46,174",54.3,152.8,1400,1634,Weekly,897.6,,,,
2019-2020,West Wimmera Shire Council,Rural Area,50.8,2.2,"3,978",50.5,0.5,0.3,0.1,37.7,1.0,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"41,314","46,174",54.3,152.8,1400,1635,Weekly,915.0,,,,
2020-2021,West Wimmera Shire Council,Rural Area,50.8,2.2,"3,978",50.5,0.5,0.3,0.1,37.7,1.0,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"41,314","46,174",54.3,152.8,1400,1635,Weekly,965.0,,,,
2021-2022,West Wimmera Shire Council,Rural Area,50.8,2.2,"3,978",50.5,0.5,0.3,0.1,37.7,1.0,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"41,314","46,174",54.3,152.8,1778,1168,Weekly,960.92,,,,
2022-2023,West Wimmera Shire Council,Rural Area,50.8,2.2,"3,978",50.5,0.5,0.3,0.1,37.7,1.0,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"41,314","46,174",54.3,152.8,1457,1643,Weekly,991.16,,,,
2018-2019,Whitehorse City Council,Metropolitan Suburb,39.2,2.6,"171,077",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3.0,1.4,7.8,16.2,6.3,1.0,1.0,41.5,40.5,"-2,340","52,721","66,842",73.4,"6,787.30",69103,65583,Weekly,27288.0,42388.0,Fortnightly,,12458.0
2019-2020,Whitehorse City Council,Metropolitan Suburb,39.2,2.6,"171,077",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3.0,1.4,7.8,16.2,6.3,1.0,1.0,41.5,40.5,"-2,340","52,721","66,842",73.4,"6,787.30",69103,62294,Weekly,27546.0,42950.0,Fortnightly,,15542.0
2020-2021,Whitehorse City Council,Metropolitan Suburb,39.2,2.6,"171,077",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3.0,1.4,7.8,16.2,6.3,1.0,1.0,41.5,40.5,"-2,340","52,721","66,842",73.4,"6,787.30",71346,64925,Weekly,28402.0,44850.0,Fortnightly,,16276.0
2021-2022,Whitehorse City Council,Metropolitan Suburb,39.2,2.6,"171,077",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3.0,1.4,7.8,16.2,6.3,1.0,1.0,41.5,40.5,"-2,340","52,721","66,842",73.4,"6,787.30",72321,63521,Weekly,27965.0,46799.0,Fortnightly,No,15418.0
2022-2023,Whitehorse City Council,Metropolitan Suburb,39.2,2.6,"171,077",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3.0,1.4,7.8,16.2,6.3,1.0,1.0,41.5,40.5,"-2,340","52,721","66,842",73.4,"6,787.30",71529,64802,Weekly,24699.0,48076.0,Fortnightly,No,18043.32
2018-2019,Whittlesea City Council,Metropolitan Suburb,35.3,2.9,"231,831",47.2,9.0,6.2,3.3,24.3,1.8,2.0,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"52,884","58,903",83.1,"7,101.70",76686,76686,Weekly,54408.0,43275.0,Fortnightly,,11263.0
2019-2020,Whittlesea City Council,Metropolitan Suburb,35.3,2.9,"231,831",47.2,9.0,6.2,3.3,24.3,1.8,2.0,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"52,884","58,903",83.1,"7,101.70",78675,79258,Weekly,44644.0,46347.0,Fortnightly,Yes,17838.0
2020-2021,Whittlesea City Council,Metropolitan Suburb,35.3,2.9,"231,831",47.2,9.0,6.2,3.3,24.3,1.8,2.0,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"52,884","58,903",83.1,"7,101.70",82195,82195,Weekly,44412.84,49881.0,Fortnightly,Yes,19076.0
2021-2022,Whittlesea City Council,Metropolitan Suburb,35.3,2.9,"231,831",47.2,9.0,6.2,3.3,24.3,1.8,2.0,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"52,884","58,903",83.1,"7,101.70",82627,82627,Weekly,45468.0,52841.0,Fortnightly,Yes,19725.0
2022-2023,Whittlesea City Council,Metropolitan Suburb,35.3,2.9,"231,831",47.2,9.0,6.2,3.3,24.3,1.8,2.0,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"52,884","58,903",83.1,"7,101.70",84925,85214,Weekly,44431.0,55446.0,Fortnightly,Yes,18993.0
2018-2019,Wodonga City Council,Regional City,37.5,2.4,"43,207",46.0,0.4,1.2,0.8,44.5,1.1,3.7,1.0,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"53,368","57,239",81.4,"1,412.10",17354,17354,Fortnightly,4770.0,17354.0,Weekly,Yes,6294.0
2019-2020,Wodonga City Council,Regional City,37.5,2.4,"43,207",46.0,0.4,1.2,0.8,44.5,1.1,3.7,1.0,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"53,368","57,239",81.4,"1,412.10",17509,17509,Fortnightly,4669.0,17509.0,Weekly,Yes,8051.0
2020-2021,Wodonga City Council,Regional City,37.5,2.4,"43,207",46.0,0.4,1.2,0.8,44.5,1.1,3.7,1.0,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"53,368","57,239",81.4,"1,412.10",17795,17795,Fortnightly,4847.0,17795.0,Weekly,Yes,9296.0
2021-2022,Wodonga City Council,Regional City,37.5,2.4,"43,207",46.0,0.4,1.2,0.8,44.5,1.1,3.7,1.0,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"53,368","57,239",81.4,"1,412.10",17896,17896,Fortnightly,5208.0,17896.0,Weekly,Yes,9951.22
2022-2023,Wodonga City Council,Regional City,37.5,2.4,"43,207",46.0,0.4,1.2,0.8,44.5,1.1,3.7,1.0,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"53,368","57,239",81.4,"1,412.10",18084,18876,Fortnightly,5112.5,18623.0,Weekly,Yes,9702.02
2018-2019,Wyndham City Council,Metropolitan Suburb,32.6,3.1,"296,322",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","54,596","61,764",83.5,"9,342.20",89074,89074,Weekly,48477.0,28435.0,Fortnightly,Yes,7817.0
2019-2020,Wyndham City Council,Metropolitan Suburb,32.6,3.1,"296,322",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","54,596","61,764",83.5,"9,342.20",107941,91256,Weekly,52403.0,33278.0,Fortnightly,Yes,11252.0
2020-2021,Wyndham City Council,Metropolitan Suburb,32.6,3.1,"296,322",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","54,596","61,764",83.5,"9,342.20",114175,96488,Weekly,57282.0,33624.0,Fortnightly,Yes,13001.0
2021-2022,Wyndham City Council,Metropolitan Suburb,32.6,3.1,"296,322",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","54,596","61,764",83.5,"9,342.20",110099,100957,Weekly,59152.2,38334.0,Fortnightly,Yes,14934.44
2022-2023,Wyndham City Council,Metropolitan Suburb,32.6,3.1,"296,322",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","54,596","61,764",83.5,"9,342.20",103927,105146,Weekly,58169.55,42990.0,Fortnightly,Yes,14438.23
2018-2019,Yarra City Council,Metropolitan Suburb,34.5,2.0,"91,521",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20.0,"-2,244","67,032","82,909",81.0,"5,709.40",46927,46927,Weekly,14428.0,,,,
2019-2020,Yarra City Council,Metropolitan Suburb,34.5,2.0,"91,521",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20.0,"-2,244","67,032","82,909",81.0,"5,709.40",46987,58820,Weekly,14895.0,,,,
2020-2021,Yarra City Council,Metropolitan Suburb,34.5,2.0,"91,521",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20.0,"-2,244","67,032","82,909",81.0,"5,709.40",46997,58820,Weekly,14895.0,,,,
2021-2022,Yarra City Council,Metropolitan Suburb,34.5,2.0,"91,521",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20.0,"-2,244","67,032","82,909",81.0,"5,709.40",50417,50417,Weekly,15390.0,1300.0,Weekly,Yes,214.88
2022-2023,Yarra City Council,Metropolitan Suburb,34.5,2.0,"91,521",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20.0,"-2,244","67,032","82,909",81.0,"5,709.40",50858,41071,Weekly,15542.0,1400.0,Weekly,Yes,200.25
2018-2019,Yarra Ranges Shire Council,Peri-Urban Area,40.1,2.7,"157,421",37.8,0.3,0.5,1.0,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8.0,"-1,656","53,719","61,830",77.7,"5,823.90",59910,59910,Weekly,29308.0,32729.0,Fortnightly,,11544.0
2019-2020,Yarra Ranges Shire Council,Peri-Urban Area,40.1,2.7,"157,421",37.8,0.3,0.5,1.0,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8.0,"-1,656","53,719","61,830",77.7,"5,823.90",60426,60426,Weekly,29775.0,35037.0,Fortnightly,,14409.0
2020-2021,Yarra Ranges Shire Council,Peri-Urban Area,40.1,2.7,"157,421",37.8,0.3,0.5,1.0,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8.0,"-1,656","53,719","61,830",77.7,"5,823.90",60851,60851,Weekly,31619.0,37325.0,Fortnightly,,15401.0
2021-2022,Yarra Ranges Shire Council,Peri-Urban Area,40.1,2.7,"157,421",37.8,0.3,0.5,1.0,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8.0,"-1,656","53,719","61,830",77.7,"5,823.90",61713,59581,Weekly,31230.0,36607.0,Fortnightly,No,14940.0
2022-2023,Yarra Ranges Shire Council,Peri-Urban Area,40.1,2.7,"157,421",37.8,0.3,0.5,1.0,53.9,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,16.8,8.0,"-1,656","53,719","61,830",77.7,"5,823.90",54059,61601,Weekly,30248.58,37697.0,Fortnightly,No,16004.0
2018-2019,Yarriambiack Shire Council,Rural Area,51.9,2.1,"6,510",52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"43,791","47,241",60.7,236.3,3061,3061,Weekly,1782.0,,,,
2019-2020,Yarriambiack Shire Council,Rural Area,51.9,2.1,"6,510",52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"43,791","47,241",60.7,236.3,2800,3186,Weekly,2190.0,,,,
2020-2021,Yarriambiack Shire Council,Rural Area,51.9,2.1,"6,510",52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"43,791","47,241",60.7,236.3,3559,3216,Weekly,2093.0,,,,
2021-2022,Yarriambiack Shire Council,Rural Area,51.9,2.1,"6,510",52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"43,791","47,241",60.7,236.3,2762,2762,Weekly,2006.0,,,,
2022-2023,Yarriambiack Shire Council,Rural Area,51.9,2.1,"6,510",52.1,0.5,0.5,0.5,36.8,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,6.7,2.9,-101,"43,791","47,241",60.7,236.3,3002,2711,Weekly,1826.59,,,,
